TYPE,Recipient Organization,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Project Director Full Name,Project Status,Keywords
PROJECT,SAES - UTAH STATE UNIVERSITY,0227136,2011-67021-30161,Plant-microbial interactions: effects of sublethal doses of nanoparticles,National Institute of Food and Agriculture,NIFA Non Formula,"Anderson, Anne",ACTIVE,"CuO, Nanoparticles, Wheat, ZnO, atomic force microscopy, bacterial exudates, beneficial microbes, biocontrol, biomineralization, cuo, metal release, nanoparticle transformation, nanoparticles, plant growth, plant metal loading, plant root exudates, plant stress responses, plant transcriptomics, rhizosphere, soil pore water, wheat, zno"
PROJECT,SAES - UNIVERSITY OF CALIFORNIA AT DAVIS,0223843,2011-67021-20034,Multifunctional food grade nanofibers with biological control agents for improving food safety of fresh produce and cut fruits,National Institute of Food and Agriculture,NIFA Non Formula,"Nitin, Nitin",COMPLETE,"Cut Fruits, active packaging, bacteriophages, biofilm, edible coatings, edible films, biopolymer coatings, enzymes, encapsulation, food safety, nanofibers, bacteriophages, biofilms, fresh produce,, fresh produce, nanofibers"
PROJECT,SAES - UNIVERSITY OF DELAWARE,0225875,2011-51160-30530,"Agriculture`s Global Challenges: Food Security, Bioenergy, and Biodiversity Building Educational and Research Partnerships with Brazil",National Institute of Food and Agriculture,NIFA Non Formula,"Donofrio, Nicole",COMPLETE,"BIOFUELS, Biodiversity, Brazil, Disease Pathology, agriculture, animal agriculture, biodiversity, biofuels, brazil, economics, economics of agricultural trade, food safety, global competence, international collaboration, internationalization, teaching modules"
PROJECT,SAES - SOUTH DAKOTA STATE UNIVERSITY,0226429,,Improving the performance of cyanobacteria engineered to produce 3rd generation biofuels,National Institute of Food and Agriculture,NIFA Formula,"Gibbons, W",ACTIVE,"carbon dioxide, cyanobacteria, directed evolution, glucose, third generation biofuel"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0219993,2010-65504-20420,Developing bactericidal yeast for cellulosic fuel ethanol production,National Institute of Food and Agriculture,NIFA Non Formula,"Bischoff, Kenneth",COMPLETE,"antibacterial, cellulosic ethanol, contamination, endolysins, lactobacillus"
PROJECT,SAES - VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0222472,2010-34602-21196,Biodesign and Bioprocessing Research Center at Virginia Tech,National Institute of Food and Agriculture,NIFA Non Formula,"Mostaghimi, Saied",COMPLETE,"biodesign, biofuels, bioprocessing, ethanol, metabolic engineering, modeling, value-added products"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0408471,,OPTICAL PROPERTIES OF SMALL GRAINS FOR RAPID AND OBJECTIVE ASSESSMENT OF QUALITY AND SAFETY,Agricultural Research Service/USDA,Other USDA Funding,DELWICHE S R,COMPLETE,WHEAT SOYBEANS NEAR INFRARED OPTICAL CLASSIFICATION QUALITY MOLD STARCH PROTEIN FUNCTIONALALITY FUSARIUM
PROJECT,WESTERN REGIONAL RES CENTER,0407461,,CONVERSION OF CROPS TO VALUE-ADDED PRODUCTS BY DIRECTED MOLECULAR EVOLUTION,Agricultural Research Service/USDA,Other USDA Funding,WONG  D,COMPLETE,"fuel, production efficiency, fermentation, energy production, separation, alcohols, ethanol, enzymes, corn, starches, wheat, value added, selection systems, non food commodities, molecular biology, agricultural engineering, cellulose, hemicellulose, glucose, product improvement, process development, amylases, temperature, ph, cooperative research, yeasts"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0404777,,"RAPID AND OBJECTIVE ASSESSMENT OF QUALITY IN SMALLGRAINS FOR REGULATION, BREEDING, AND PROCESSING",Agricultural Research Service/USDA,Other USDA Funding,DELWICHE  S R,ACTIVE,"wheat, rice, near infrared radiation, optical properties, classification, food quality, moisture content, amyloses, food properties, speed, quality evaluation, small grains, plant breeding, food processing, food engineering, automation, systems development, food inspection, molds, crop damage, measurement, baking quality, environmental stress, infrared spectroscopy, scab (wheat), disease detection, spectral imagery, reflectance, feasibility, synthetases"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0422661,,IMPROVING WATER PRODUCTIVITY AND NEW WATER MANAGEMENT TECHNOLOGIES TO SUSTAIN RURAL ECONOMIES,Agricultural Research Service/USDA,Other USDA Funding,BRAUER D K,ACTIVE,OGALLALA GROUNDWATER WATER TILLAGE MODELING DRYLAND MICROIRRIGATION FURROW ALFALFA WATER USE EFFICIENCY CROP PHYSICAL EFFICIENCY IRRIGATION EVAPOTRANSPIRATION EVAPORATION RESIDUE LIVESTOCK SPRINKLER SOIL WATER CONTENT GRASS DRIP IRRIGATION LEPA COTTON
PROJECT,BRADLEY UNIVERSITY,0411900,,GENOMIC MECHANISMS OF IN SITU DETOXIFICATION OF BIOMASS CONVERSION INHIBITORS FOR ETHANOLOGENIC YEAST SACCHAROMYCES CEREVISIAE,Agricultural Research Service/USDA,Other USDA Funding,LIU Z,COMPLETE,BIOETHANOL BIOTRANSFORMATION FUNCTIONAL GENOMICS GENE REGULATORY NETWORK METABOLIC PATHWAY SACCHAROMYCES CEREVISIAE YEAST BIOMASS CONVERSION INHIBITOR COMPUTATION MODELING GENE EXPRESSION IN SITU DETOXIFICATION MICROARRAY STRESS TOLERANCE
PROJECT,CAL POLY POMONA FOUNDATION INC,1000956,2013-67019-21374,"Algae for conversion of manure nutrients to animal feed: Evaluation of advanced nutritional value, toxicity, and zoonotic pathogens",National Institute of Food and Agriculture,NIFA Non Formula,"Murinda, Shelton",ACTIVE,"Toxic Cyanobacteria, algae, animal feed, bacteria, manure, nutritional value, pathogens"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0408432,,OBJECTIVE GRADING AND END-USE PROPERTY ASSESSMENT OF SINGLE KERNELS AND BULK GRAIN SAMPLES,Agricultural Research Service/USDA,Other USDA Funding,PEARSON T C,COMPLETE,CEREAL ACOUSTICS IMAGE GRADING SENSORS PARTICLE BIOCHEMICAL PROPERTIES CORN ELECTRONIC NIR WHEAT INSTRUMENTATION VISION PHYSICAL RHEOLOGY GRAIN HARDNESS MACHINE SIZE SPECTROSCOPY NON-DESTRUCTIVE MEASUREMENT QUALITY
PROJECT,SAES - NORTH CAROLINA STATE UNIVERSITY,0222147,2010-34368-20940,Innovative Biotechnologies for Environmentally Sustainable and Economically Competitive Aquaculture across North Carolina,National Institute of Food and Agriculture,NIFA Non Formula,"Sullivan, Craig",COMPLETE,"Egg quality, aquaculture, atlantic sturgeon, cortisol, economics, effluent, egg quality, engineering, feed conversion, fish pond effluents, gender identification, growth, growth regulation, hybrid striped bass, land application, recirculating aquaculture, reproduction, stress, water quality, water reuse technology, yolk formation"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,0227464,,Nanotechnology and Biosensors,National Institute of Food and Agriculture,NIFA Formula,"Alocilja, E",ACTIVE,"detection, nanotechnology, pathogens, rapid, biosensors"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0418380,,OPTICAL PROPERTIES OF SMALL GRAINS FOR RAPID AND OBJECTIVE ASSESSMENT OF QUALITY AND SAFETY,Agricultural Research Service/USDA,Other USDA Funding,DELWICHE S R,COMPLETE,WHEAT NEAR INFRARED CLASSIFICATION MOLD PROTEIN FUSARIUM SOYBEANS OPTICAL QUALITY STARCH FUNCTIONALALITY
PROJECT,AGRICULTURAL RESEARCH SERVICE,0419751,,Optical and Mechanical Instrumentation for Quality Assessment of Small Grains,Agricultural Research Service/USDA,Other USDA Funding,DELWICHE S R,ACTIVE,OPTICS NON-DESTRUCTIVE NEAR-INFRARED HYPERSPECTRAL IMAGE ANALYSIS
PROJECT,NORTHERN REGIONAL RES CENTER,0408951,,COST-EFFECTIVE BIOPROCESS TECHNOLOGIES FOR PRODUCTION OF BIOFUELS FROM LIGNOCELLULOSIC BIOMASS,Agricultural Research Service/USDA,Other USDA Funding,SAHA B C,COMPLETE,FERMENTATION BIOPROCESSING ETHANOL ENZYMES ENERGY BIOMASS BIOFUELS MICROORGANISMS PRETREATMENT BIOPRODUCTS BUTANOL LIGNOCELLULOSE PROCESS INTEGRATION DOWNSTREAM PROCESSING
PROJECT,SAES - CORNELL UNIVERSITY,0184950,,The Nanobiotechnology Center - Microanalysis of Biomolecules,State Agricultural Experiment Station,State Funding,"Craighead, H.",COMPLETE,"biotechnology, cell biology, fabrication, engineering, microanalysis, cells, molecules, sensors, plant pathology, nervous system, cell physiology, lithography, analytical methods, electrophoresis, research equipment, chemical analysis, ions"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,0193329,2002-34468-12742,"Aquaculture, Idaho and Washington",National Institute of Food and Agriculture,NIFA Non Formula,"Ristow, S. S.",COMPLETE,"aquaculture, rainbow trout, sturgeon, immunology, disease resistance, embryos, embryonic mortality, aquatic plants, filtration, biodegradation, sex chromosomes, fish genetics, engineering, animal physiology, reproductive performance, food products, bacterial diseases (animals), disease control, fish diseases, flavobacterium, bacterial genetics, immune response, dna, genomes, food safety, listeria monocytogenes, demonstration, genetic mapping, linkage (genetics)"
PROJECT,SAES - RUTGERS UNIVERSITY (COOK COLLEGE),0193987,,Validation and Design of Advanced Techniques for Airborne Microbial Pollutant Monitoring,National Institute of Food and Agriculture,NIFA Formula,"Mainelis, G",COMPLETE,"airborne microroganis, biological aerosol, bioserosol, collector, sampler"
PROJECT,SAES - NORTH CAROLINA STATE UNIVERSITY,0207295,2006-34368-17186,"Finfish Aquaculture:  Improved Production Efficiency, Farming Practices, and Rearing Technologies",National Institute of Food and Agriculture,NIFA Non Formula,"Borski, Russell",COMPLETE,"biofiltration, biomarkers, effluents, egg quality, feed conversion, feed intake, gene expression, genomics, growth, hybrid striped bass, leptin, lipase, phosphorous, total nitrification volume, water quality, striped bass"
PROJECT,PHENOTYPE SCREENING CORPORATION,0210952,2007-33610-18517,Poplar Root System Characterization Studies for Next Generation Root Research,National Institute of Food and Agriculture,NIFA Non Formula,"McDonald, D. W.",COMPLETE,"poplar, , root characterization, phenotype screening, engineered growth, substrates, root morphology, , root visualization"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,0197927,2003-34468-14085,"Aquaculture, Idaho and Washington",National Institute of Food and Agriculture,NIFA Non Formula,"Ristow, S. S.",COMPLETE,"aquaculture, rainbow trout, immunology, fish genetics, animal disease resistance, embryo development, engineering, filtration, fish, genomes, reproductive performance, fish production, animal physiology, vaccines, disease diagnosis, disease prevention, fish diseases, maternal effects, stress tolerance, muscle development, quantitative genetics, traits, gene loci, immunity, receptors, genetic mapping, natural killer cells"
PROJECT,WILLIAM MARSH RICE UNIVERSITY,0205996,2005-35504-16698,Development of a Novel Fermentation Process for the Anaerobic Conversion of Glycerol and CO2 into Succinic Acid Using Escherichia Coli,National Institute of Food and Agriculture,NIFA Non Formula,"Gonzalez, Ramon",COMPLETE,"Carbon dioxide, escherichia coli, metabolic engineering, raw glycerol, fermentation"
PROJECT,1890 - TUSKEGEE UNIVERSITY,0212376,,Evaluation of Sweetpotato Biomass as Feedstock for Biofuel (Ethanol) Production,National Institute of Food and Agriculture,NIFA Formula,"Vaughan, B",COMPLETE,"biomass, biotechnology, breeding, cultural practices cellulosic conversion, ethanol, feedstock, genomics, germplasm, ipomoa batatas, starch conversion fermentation, sweetpotato, biofuel"
PROJECT,SAES - OKLAHOMA STATE UNIVERSITY,0219156,2009-34447-19951,"Biomass-Based Energy Research, OK & MS",National Institute of Food and Agriculture,NIFA Non Formula,"Huhnke, Raymond",COMPLETE,"BIOMASS, Energy, Ethanol, Fermentation, Gasification, acetogen, biomass, carbon monoxide, energy, ethanol, fermentation, gasification, gasifier, hydrogen, perennial grasses, sorghum, switchgrass, syngas, synthesis gas"
PROJECT,SAES - VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0220088,2010-65504-20346,Metabolic engineering of Clostridium cellulolyticum using a genome-scale model and combinatorial approaches.,National Institute of Food and Agriculture,NIFA Non Formula,"Senger, Ryan",COMPLETE,"biofuels, butanol, cellulose, cellulosic, clostridia, clostridium acetobutylicum, clostridium cellulolyticum, combinatorial, consolidated bioprocess, ethanol, genome-scale model, genomic library, metabolic engineering"
PROJECT,SAES - UNIVERSITY OF NEBRASKA,0215267,,Engineering Nonviral Gene Delivery through Extracellular Interactions and Intracellular Signaling,National Institute of Food and Agriculture,NIFA Formula,"Pannier, A",COMPLETE,"extracellular matrix, gene therapy, intracellular signaling, microarray, nonviral gene delivery, tissue engineering, transfection"
PROJECT,1890 - WEST VIRGINIA STATE UNIVERSITY,0214182,2008-38850-19194,"""Agricultural Waste Utilization and Bioenergy Production Using Anaerobic Digestion""",National Institute of Food and Agriculture,NIFA Non Formula,"Huber, D. H.",COMPLETE,"anaerobic digester, poultry litter, animal waste, bioenergy, bacteria, metagenomics, methane, methanogen, agricultural waste utilization"
PROJECT,NORTHERN REGIONAL RES CENTER,0405344,,STRESS-TOLERANT MICROBES FOR LOWER COST PRODUCTION OF BIOENERGY AND BIOPRODUCTS,Agricultural Research Service/USDA,Other USDA Funding,SLININGER  P J,COMPLETE,"stress tolerance, bacteria, yeasts, microbial genetics, biofuels, new products, strains (genetics), genetic engineering, fermentation"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0407888,,DEVELOP BIOLOGICAL CONTROL TECHNIQUES AND MASS-REARING TECHNOLOGY FOR BENEFICIAL AND PEST INSECTS,Agricultural Research Service/USDA,Other USDA Funding,STREETT  D A,COMPLETE,COTTON BEET EUROPEAN BORER WEEVIL WEEDS SODA BIOLOGICAL EGG APHID ARMYWORM CORN BOLL LYGUS TROPICAL APPLE CONTROL PARASITE CHRYSOPERLA PARASITOID MARGINIVENTRIS IOLE ANAPHES COTESIA PREDATOR GEOCORIS
PROJECT,SAES - UNIVERSITY OF TENNESSEE,0225502,2011-68005-30410,Southeast Partnership for Integrated Biomass Supply Systems,National Institute of Food and Agriculture,NIFA Non Formula,"Rials, Timothy",ACTIVE,"biomass, biomass quality, butanol, drop-in fuel, economic modeling, feedstock, green diesel, integration, life-cycle analysis, logistics, southeast, sustainability, switchgrass, water quality, wood residue, woody crops"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,0225437,2011-68005-30416,"Northwest Advanced Renewables Alliance (NARA): A New Vista for Green Fuels, Chemicals, and Environmentally Preferred Products (EPPs)",National Institute of Food and Agriculture,NIFA Non Formula,"Cavalieri, Ralph",ACTIVE,"Biomass conversion/ref, Feedstock development, Feedstock logistics, Sustainable feedstock production, air/water quality, aviation fuel/biojet, biomass conversion, carbon sequestration, community development, conversion, douglas fir/western hemlock, education/service learning, feedstock development/sustainable production, feedstock logistics, fermentation, forest/plantation, life cycle analysis, marketing, nutrient/nitrogen/carbon cycling, poplar/red alder, sustainable feedstock production, system metrics and logistics, transgenics"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0403312,,POST-HARVEST SANITATION OF CUCUMBERS,Agricultural Research Service/USDA,Other USDA Funding,VACANT,COMPLETE,"cucumbers, pickles, washing, pythium, food contamination, bacteria, fungi, post harvest losses, deterioration, sterilization, food handling, bruising, food microbiology, ozone, food engineering, decontamination, survival, dosage, quantitative analysis, sanitation, food quality"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0403348,,DEVELOPMENT OF IMPROVED KILLED VACCINES FOR SALMONELLA ENTERITIDIS,Agricultural Research Service/USDA,Other USDA Funding,BRENNER  R J,COMPLETE,"salmonella enteritidis, vaccines, product development, poultry diseases, poultry production, food contamination, eggs, food safety, strains (genetics), bacterial diseases (animals), disease control, growth conditions, phenotypes, bacterial genetics, quality maintenance, immunization, performance testing, chickens, engineering, bacterial contamination"
PROJECT,EXT - IOWA COOPERATIVE EXTENSION,0230789,2012-51181-20295,Shielding Cucurbit Crops for Resilient Agroecosystems,National Institute of Food and Agriculture,NIFA Non Formula,"Gleason, Mark",COMPLETE,"advisory panel, bacterial wilt, cover crops, erwinia tracheiphila, host selectivity, integrated pest management, local foods, mechanization, mobile application, natural enemies, partial budget, strip tillage, sustainable agriculture, vegetable crops, webinar"
PROJECT,SAES - IOWA STATE UNIVERSITY,0229857,2012-67009-19713,"Genetic Architecture of Sorghum Biomass yield Component Traits Identified Using high-throughput, Field-based Phenotyping Technologies",National Institute of Food and Agriculture,NIFA Non Formula,"Schnable, Patrick",ACTIVE,"3d imaging, automated phenotyping, biofuel, biomass production, crop yield, genetic control, genome-wide association studies (gwas), genomic selection (gs), phenotyping, phenotyping robot, photo-protection, photoperiod sensitivity, photosynthesis, snp markers, sorghum, sustainability"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0408533,,VALUE-ADDED PRODUCTS FROM FORAGES AND BIOMASS ENERGY CROPS,Agricultural Research Service/USDA,Other USDA Funding,WEIMER P J,COMPLETE,ENZYMES FRACTIONATION FERMENTATION ADHESIVES GLYCOCALYX HARVESTING ALFALFA GERMPLASM RESIDUES BIOENERGY COMPOSITES VALUE-ADDED SWITCHGRASS
PROJECT,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIV,1005572,2015-70016-22992,Characterization of Liberibacter populations and development of field detection system for citrus huanglongbing,National Institute of Food and Agriculture,NIFA Non Formula,"Ramadugu, Chandrika",ACTIVE,"Liberibacter variants, SmartDart, SmartTrap, field testing, new Liberibacter strains, psyllid"
PROJECT,SAES - UNIVERSITY OF ILLINOIS,0185853,,IMPROVEMENT AND CHARACTERIZATION OF CLOSTRIDIUM BEIJERINCKII BA101,National Institute of Food and Agriculture,NIFA Formula,"Blaschek, H. P.",COMPLETE,"clostridium beijerinckii, agricultural engineering, corn, non food commodities, strains (genetics), bacterial genetics, genetic markers, aflp, fermentation, processing, butanol, pervaporation, gene cloning, production systems, nutrient transport, sugars, mutants, recombinant dna, bacterial physiology, systems development, viability, production efficiency"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,0188066,2001-34452-10326,"Aquaculture, Washington",National Institute of Food and Agriculture,NIFA Non Formula,"Ristow, S. S.",COMPLETE,"aquaculture, rainbow trout, immune response, flavobacterium, renibacterium salmoninarum, radio frequency drying, quantitative genetics, gene loci, animal genetics, water reuse, solid waste, epidemiology, bacterial diseases (animals), virus diseases (animals), fish diseases, genetic mapping, linkage (genetics), animal disease resistance, pathogenesis, disease detection, performance evaluation, food processing"
PROJECT,SAES - CORNELL UNIVERSITY,0184949,,The Nanobiotechnology Center - Sparse Cell Isolation,State Agricultural Experiment Station,State Funding,"Craighead, H.",COMPLETE,"biotechnology, isolation, cell biology, fabrication, sorting, cells, instrumentation, engineering, physics, research equipment, pathogens, contaminants, drinking water, viruses, cancer, cell population, size, optical properties, surface chemistry"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,0185194,00-34158-9236,Advanced Technology Applications to Eastern Hardwood Utilization,National Institute of Food and Agriculture,NIFA Non Formula,"Kamdem, D. P.",COMPLETE,"hardwoods, wood, composite wood, paper, wood structure, forest products, wood utilization, molecular biology, wood engineering, performance evaluation, wood preservation, wood preservatives, copper, acer saccharinum, recycling, ash, land application, surface properties, robinia pseudoacacia, particle board, oriented strand board"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,0184336,,The Poultry Food System: A Farm to Table Model,National Institute of Food and Agriculture,NIFA Formula,"BOOREN, A.",COMPLETE,"poultry production, poultry meat, poultry products, meat quality, meat processing, food contamination, food microbiology, irradiation, blood, food safety, environmental stress, biochemistry, product improvement, food engineering, consumer acceptance, eggs, food color, food flavor, food texture, rigor mortis, ryanodine"
PROJECT,FRST - MISSISSIPPI STATE UNIVERSITY-FORESTRY SCHOOL,0062418,,FOREST PRODUCTS STUDIES,State Agricultural Experiment Station,State Funding,"Shmulsky, R",ACTIVE,"bio composites, bio oil, biofiber, biomass, engineered wood nanotechnology, pellets, pyrolysis oil, sawmilling, structural lumber, wood, wood drying, wood preservation environmental issues"
PROJECT,SAES - UNIVERSITY OF HAWAII,0208324,,Disposable Sensor Design for Agricultural Gene-Based Diagnostics,National Institute of Food and Agriculture,NIFA Formula,"Jenkins, D.",COMPLETE,"biosensors, agricultural diagnostics, genetic prototyping, plant biosecurity"
PROJECT,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOG,0198875,2004-35505-14193,Collaborative Research: Metabolic Engineering of E. coli Sugar-Utilization Regulatory Systems for the Consumption of Plant Biomass Sugars,National Institute of Food and Agriculture,NIFA Non Formula,"Shanks, Jacqueline",COMPLETE,"bacterial genetics, bacterial physiology, biomass, carbohydrate metabolism, cooperative research, dna, engineering, fermentation, gene regulation, genomes, mathematical models, metabolic pathways, metabolic regulation, molecular biology, mutagenesis, mutants, new products, product development, recombinant dna, sugars, escherichia coli"
PROJECT,SAES - PURDUE UNIVERSITY,0205217,,Catalytic Bioprocessing,National Institute of Food and Agriculture,NIFA Formula,"Ladisch, M. R.",COMPLETE,"catalyst, biocatalysts, reaction engineering, biodiesel, ethanol, organic acids, microfluidics, biomolecules, kinetics, mathematical model, diffusion, oligosaccharides, isomerization, immobilized enzymes, solid phase catalysts, modeling"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,0201378,2004-34468-15199,"Aquaculture, Idaho and Washington",National Institute of Food and Agriculture,NIFA Non Formula,"Ristow, S. S.",COMPLETE,"aquaculture, rainbow trout, immunology, fish genetics, animal disease resistance, embryo development, agricultural engineering, filtration, reproductive performance, fish production, animal physiology, production systems, molecular genetics, profitability, new products, vaccines, disease diagnosis, fish diseases, disease control, genetic engineering, oocytes, animal response, environmental stress, promoters (genetics), muscle growth, extension, workshops, educational materials"
PROJECT,SAES - RUTGERS UNIVERSITY (COOK COLLEGE),0194183,,Bioremediation of Dioxin/Furan Contaminated Sediments: Fundamental Studies for Technology Development,National Institute of Food and Agriculture,NIFA Formula,"Fennell, D. E.",COMPLETE,"microorganisms, bacteria, sediments, bioremediation, dioxin, pollution control, dibenzo furans, anaerobic conditions, kinetics, microbial ecology, communities (ecology), process development, engineering, microbial competition, microbiology, molecular biology, substrates, heavy metals, predictive models, organo halogen compounds, toxic substances, human health"
PROJECT,SAES - MISSISSIPPI STATE UNIVERSITY,0223858,,The Science and Engineering for a Biobased Industry and Economy,National Institute of Food and Agriculture,NIFA Formula,"Sparks, D",COMPLETE,"biobased fuels and chemicals, biodiesel, bioenergy, biofuels, biomass, biorefinery"
PROJECT,SAES - UNIVERSITY OF WISCONSIN,0212875,,Bioenergy Research,State Agricultural Experiment Station,State Funding,"Donohue, T",COMPLETE,"biofuels, cellulose, cellulosic ethanol, ethanol, fuels, hydrocarbons, hydrogen, lignin, renewable energy, biomass"
PROJECT,SAES - AUBURN UNIVERSITY,0216000,2009-35603-05051,Nanoliter/Picoliter Scale Fluidic Arrays for Rapid Identification of Pathogenic Bacteria,National Institute of Food and Agriculture,NIFA Non Formula,"Hong, Jong Wook",COMPLETE,"Biodetection, Nanofluidics, Picoliter Volume, listeria sp., nanofluidics, nems, single cell, biodetection, campylobacter sp.,, pathogenic bacteria"
PROJECT,SAES - OKLAHOMA STATE UNIVERSITY,0216517,,The Science and Engineering for a Biobased Industry and Economy,National Institute of Food and Agriculture,NIFA Formula,"Huhnke, R",COMPLETE,"acetogens, ethanol, gasification, syngas fermentation"
PROJECT,SAES - RUTGERS UNIVERSITY (COOK COLLEGE),0222521,,"Microbial Processes in Bioenvironmental Engineering: Bioremediation, Bioaerosols and Bioenergy",National Institute of Food and Agriculture,NIFA Formula,"Fennell, D",COMPLETE,"air, anaerobic digestion, aniline, bioaerosols, biodegradation, bioenergy, biofuel, bioremediation, chloroaniline, dioxins, equine waste, horse manure, pcbs, stall waste"
PROJECT,SAES – TEXAS A&M UNIVERSITY,0216252,2009-55605-05005,Development of prototype PAthogen Detection Lab-On-a-Chip (PADLOC) system for real-time on-field plant disease diagnostics,National Institute of Food and Agriculture,NIFA Non Formula,"Shim, Won-Bo",COMPLETE,"Plant pathogen detection, biosecurity, microbial genomes, microchip PCR, microsystems engineering, pathogen diagnosis, portable detection system, real-time on-field diagnostics, realtime pcr"
PROJECT,1890 - PRAIRIE VIEW A&M UNIVERSITY,0216396,,Characterization of Specialty Crops for Cellulosic Biomass Production and Processing.,National Institute of Food and Agriculture,NIFA Formula,"Osuji, G",COMPLETE,"agronomic conditions, alternative crops, biomass feedstock, cellulose assay, distillation, economic analysis, glutamate dehydrogenase, microarray analysis, monosaccharides, pre-treatment, solid-state fermentation"
PROJECT,FRST - MISSISSIPPI STATE UNIVERSITY-FORESTRY SCHOOL,0219802,2009-34158-20189,2009 Wood Utilization Research Program,National Institute of Food and Agriculture,NIFA Non Formula,"Hopper, George",COMPLETE,"ACQ, Biodeterioration, acq, biodeterioration, biopolymer, bioproduct, bioenergy, biomass,, bioenergy, biomass, biopolymer, carbon dioxide emissions, carbon dioxide emissions, carbon nanomaterial, cellulose, compost,, cellulose, copper based preservatives, decay, deterioration, durability,, decay, hemicelluloses,implan, kenaf, lignin peroxidase, logging residues,, micronized, mills, sheet molding compound, syngas, transcriptomics,, up-regulation"
PROJECT,SAES - OKLAHOMA STATE UNIVERSITY,0214403,2008-34417-19201,"Biomass-Based Energy Research, OK & MS",National Institute of Food and Agriculture,NIFA Non Formula,"Huhnke, R. L.",COMPLETE,"biomass, energy, perennial grasses, sweet sorghum, gasification, fermentation, synthesis gas, hydrolysis, switchgrass, fluidized bed gasifier, acetogen, carbon monoxide, hydrogen, enzymatic hydrolysis, ethanol"
PROJECT,SAES - NORTH CAROLINA STATE UNIVERSITY,0218436,2009-34368-19776,Genomics and Biotechnology to Promote Environmentally Sustainable and Globally Competitive Aquaculture in North Carolina,National Institute of Food and Agriculture,NIFA Non Formula,"Daniels, Harry",COMPLETE,"Egg quality, egg quality, growth regulation, ion deficiencies, leptin, water reuse"
PROJECT,UNIVERSITY OF FLORIDA,0409871,,DEVELOPMENT OF CDNA MICROARRAYS FOR GENE EXPRESSION RESEARCH IN FLORICULTURAL CROPS,Agricultural Research Service/USDA,Other USDA Funding,SHATTERS R G,COMPLETE,"CDNA, PROMOTER, EXPRESSION, COMPLEMENTARY DNA, NUCLEOTIDE SEQUENCES FLOWERING, DNA PROBES, MICROARRAY TECHNOLOGY, MICROARRAY, GENE, FLOWER, ETHYLENE, SOLANACEAE, PROMOTER REGIONS, SEQUENCE ANALYSIS, PLANT TISSUES, PLANT TISSUES, GENOMICS, GERMPLASM EVALUATION, PLANT GENETIC RESOURCES, IRON-EFFICIENCY, PLANT NUTRITION, WATER QUALITY, NUTRIENT TOXICITY, NUTRIENT DEFICIENCY, ROOT MORPHOLOGY, ROOT PHYSIOLOGY, PLANT PHYSIOLOGY"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0404162,,AGRICULTURAL PRODUCTIVITY AND WATER USE:  EFFECTS OF GLOBAL CHANGE,Agricultural Research Service/USDA,Other USDA Funding,KIMBALL  B A,COMPLETE,"crop productivity, climate change, water use efficiency, carbon dioxide, crop yields, evapotranspiration, plant growth, modeling techniques, oranges, alfalfa, agricultural engineering, soil plant water relations, carbon dioxide enrichment, pinus, juniperus, woodlands, plant ecology, rangelands, ecosystems, measurement"
PROJECT,MICHIGAN STATE UNIV,0407130,,CUCUMBER GENOMICS,Agricultural Research Service/USDA,Other USDA Funding,MCGRATH  J M,COMPLETE,PICKLING WASH PYTHIUM FUNGI POST DETERIORATION STERILIZATION HANDLING VEGETABLES BRUISING MICROORGANISMS DAMAGE CUCUMBER WATER CONTAMINATING BACTERIA HARVEST PATHOGEN
PROJECT,AGRICULTURAL RESEARCH SERVICE,0405538,,SCALING & MODELING SPACE-TIME VARIABILITY OF LANDSCAPE PROCESSES TO ENHANCE MANAGEMENT,Agricultural Research Service/USDA,Other USDA Funding,GREEN  T R,COMPLETE,"soil leaching, pesticides, roots, crop quality, plant nutrients, soil infiltration, agricultural land, land management, models, validation, crop growth, scaling, simulation models, spatial variability, temporal distribution, watersheds, watershed management, hydrology, water use efficiency, pollution control, soil chemistry, agricultural engineering, statistical methods, process development, quantitative analysis, topography, parameters, measurement, data analysis, predictive models"
